,points,nu_error,c_error,s_error,type
305,35,-0.01596139753563175,0.6356751194965281,-0.5945967002361865,info
306,40,-0.017011843961608708,0.6346855702832539,-0.5946040040301865,info
307,45,-0.01843788177759098,0.6330584704974933,-0.5947995565822822,info
308,50,-0.017919893620100047,0.633481824036111,-0.5947773599923092,info
309,55,-0.013285453895236277,0.6335168716760498,-0.6008077877244155,info
310,60,-0.014006630548088483,0.6322102105908869,-0.6025563668997789,info
311,65,-0.010614236264358645,0.6322414897422796,-0.6092481853740433,info
312,70,-0.020793537568136067,0.6322609932569508,-0.5917750635327954,info
313,75,-0.020683193565527502,0.6323659151720714,-0.5917594545886142,info
314,80,-0.020679480271757145,0.6323785507594546,-0.591742679018699,info
315,85,-0.020838708975523756,0.6322996256170766,-0.5915117385672788,info
316,90,-0.013133423953811452,0.6322894985631466,-0.6005306179415255,info
317,95,-0.017343406858024935,0.6326378061627838,-0.5966605598429722,info
318,100,-0.017413385637048417,0.6325660507886024,-0.5966566422026489,info
319,5,0.1034117381773092,0.7324312874587345,-0.6226190591213704,info
320,10,0.10317268931284374,0.7292159734433544,-0.620480432397064,info
321,15,0.020470257943058456,0.6526669583711214,-0.6121084493695693,info
322,20,0.004741506272743612,0.6479738011995403,-0.6012012691857418,info
323,25,-0.0003942813029830239,0.643027490472463,-0.6012527654445436,info
324,30,-0.00866941542358135,0.635118738579765,-0.6066667507278125,info
325,35,-0.009879489993760426,0.6339987816263157,-0.6065697409268347,info
326,40,-0.023158235133251992,0.6336485102018614,-0.5897574121640112,info
327,45,-0.012270240419161249,0.6344437516871603,-0.6053007658902547,info
328,50,-0.014657903310616005,0.6344903420377263,-0.601000717292939,info
329,55,-0.011705919790640729,0.6334289226027165,-0.6060874999991125,info
330,60,-0.01835426272677676,0.6332345870030153,-0.5964048804341591,info
331,65,-0.014487391712666442,0.6331758408772324,-0.6026325039115645,info
332,70,-0.014458062726495524,0.6331641581036649,-0.6025414591418664,info
333,75,-0.01774373209387603,0.6335153635974611,-0.5953787425706005,info
334,80,-0.021194176352726357,0.6337161565982047,-0.5905069609444888,info
335,85,-0.020514638251036388,0.63317856945452,-0.59110672903506,info
336,90,-0.021806806666083367,0.6331785037407407,-0.588677896462913,info
337,95,-0.021341254475720772,0.6331933482367125,-0.5895354825532753,info
338,100,-0.02265944833371214,0.6331115491449998,-0.5870240279191842,info
339,5,-0.038551945546511424,0.6036476946720336,-0.5882531188645261,info
340,10,-0.01085812994326718,0.6351392362182913,-0.5925062697374581,info
341,15,-0.0212433887247655,0.6270349996125083,-0.5938731816504178,info
342,20,-0.003131510969575979,0.6470424117318707,-0.6019934912265332,info
343,25,-0.008081286564000423,0.6455459083217466,-0.5963736503264818,info
344,30,-0.02100272587418972,0.6329582245061407,-0.5962048140710714,info
345,35,-0.02140665937846986,0.6330557205857762,-0.5950286349687008,info
346,40,-0.021954918258007106,0.6342089461999693,-0.592558588866433,info
347,45,-0.015542889265838467,0.6342293982440771,-0.6044174288765582,info
348,50,-0.021802823433783813,0.6339046541439632,-0.5926428802721518,info
349,55,-0.021959691858084773,0.6340697536875066,-0.5918615090108187,info
350,60,-0.022212385646047106,0.6338113499118256,-0.5918061855894561,info
351,65,-0.02148774680943244,0.6338372266439941,-0.5918674606228298,info
352,70,-0.013827375359030447,0.6328575893795537,-0.6036701136675576,info
353,75,0.0014515757185351585,0.6330151184208284,-0.6222037757885586,info
354,80,0.0014657138413867177,0.6330399022841661,-0.6221882780463548,info
355,85,-0.006024763623300178,0.6330142726013172,-0.612614804600882,info
356,90,-0.00447955999958749,0.632996804188065,-0.6133740453723736,info
357,95,-0.003996156450509325,0.6330183461381069,-0.6139626483293886,info
358,100,-0.00402815057670991,0.6329779656806693,-0.6139662481127448,info
359,5,0.11608718938266827,0.7299880569712133,-0.6580550253132847,info
360,10,0.04519169941665235,0.6859874015637135,-0.6161977490542748,info
361,15,-0.012882138694056189,0.6313909791510972,-0.6115400067561932,info
362,20,-0.026125514479305556,0.6249493475109813,-0.6064639138617077,info
363,25,-0.022572880405547835,0.6263945314775452,-0.6120403093014934,info
364,30,-0.0164564404331905,0.6353741220874746,-0.6101529964630288,info
365,35,-0.020242344632695697,0.6346579738699256,-0.6007491312783111,info
366,40,-0.02211142663216925,0.6335062235860414,-0.5998487682313955,info
367,45,-0.021297981983004588,0.6337992240574518,-0.5983705170581012,info
368,50,-0.021509287293964396,0.6336186123187201,-0.5983921093008474,info
369,55,-0.01978417403343291,0.6329489166265079,-0.5998319485529018,info
370,60,-0.017608756732587327,0.6333958898155555,-0.6003625590550364,info
371,65,-0.019176309012765902,0.6331632483497839,-0.5992209453171475,info
372,70,-0.016731254314656052,0.6332752062266664,-0.6020702106742493,info
373,75,-0.018685715095269062,0.6332898835830872,-0.5956222754549074,info
374,80,-0.01834745196459031,0.6332068937924888,-0.5958639688855005,info
375,85,-0.019246967810630733,0.6330856115015411,-0.5948450367894349,info
376,90,-0.019292638069012047,0.6330182290635724,-0.5948429166760606,info
377,95,-0.01930621362088214,0.6330063165499187,-0.5948429252152363,info
378,100,-0.021211813014739067,0.6330273170724596,-0.5925940131376106,info
379,5,0.025670798264026407,0.651176619033752,-0.6209589730407993,info
380,10,0.02163055777355183,0.6674836105827276,-0.6020751162222842,info
381,15,-0.005738585642909855,0.6400700105364497,-0.6081088267846624,info
382,20,-0.012603921525991435,0.6360091176757616,-0.6084145107721318,info
383,25,0.024174110647753433,0.638745010511084,-0.6556097365050177,info
384,30,0.01868462474537491,0.6358598876042447,-0.6519412475792554,info
385,35,0.016611086945401254,0.6338863463528961,-0.6519298638967059,info
386,40,0.014147061089564872,0.6328739913389648,-0.6501876113052083,info
387,45,0.02362769250025376,0.6331109219441144,-0.6608184186026892,info
388,50,0.02370930920051273,0.6329579186487729,-0.6610506927341487,info
389,55,0.0142126576500603,0.6329511311293162,-0.649928309857685,info
390,60,0.02592792684179923,0.632988311323424,-0.6626239639212741,info
391,65,0.024393802688625676,0.6329921747492692,-0.6602538896472929,info
392,70,0.02482513178558854,0.632988073239731,-0.6608510418260131,info
393,75,0.019864621004988092,0.6330055114070463,-0.6547329356859732,info
394,80,0.01982113687865139,0.633018619732164,-0.6546766143025566,info
395,85,0.0006056257565572043,0.6330215851038176,-0.6292996512636475,info
396,90,0.0005590142834382972,0.6330089139629833,-0.6292597344019966,info
397,95,-0.0018941727567786115,0.6330580555960712,-0.6248454803566917,info
398,100,-0.0014606038433638835,0.6330728241825336,-0.625399672362068,info
